Sentiment,KeyWords,Counts
Positive,able,24
Positive,accountable,3
Neutral,actual,3
Positive,add,8
Negative,addicted,3
Positive,Addictive,8
Neutral,additional,3
Neutral,allow,4
Neutral,alright,5
Positive,Amazing,10
Negative,angry,13
Positive,app,6
Neutral,automatic,3
Positive,available,9
Positive,awesome,13
Positive,bad,49
Positive,basic,10
Positive,beautiful,3
Neutral,become,3
Positive,Best,32
Positive,big,8
Neutral,biggest,4
Negative,black,6
Negative,boring,5
Neutral,bottom,3
Neutral,bubble,3
Positive,call,10
Positive,cancel,3
Positive,cant,8
Positive,Chinese,6
Neutral,choose,4
Positive,Classic,5
Positive,clear,4
Neutral,commercial,3
Positive,compatible,4
Positive,complete,3
Neutral,connect,5
Positive,Constant,5
Positive,contact,3
Positive,content,5
Positive,convenient,6
Positive,Cool,13
Positive,correct,3
Positive,couple,3
Positive,current,6
Positive,daily,8
Neutral,delete,7
Positive,desktop,3
Positive,Different,21
Negative,difficult,7
Positive,disappointed,10
Neutral,double,3
Neutral,downloaded,3
Negative,due,4
Negative,dumb,3
Positive,early,3
Positive,easy,63
Positive,effective,3
Positive,efficient,3
Positive,email,4
Positive,English,17
Neutral,enough,8
Positive,entire,4
Positive,excellent,8
Positive,extra,4
Neutral,facial,3
Positive,fantastic,4
Positive,favorite,3
Neutral,favourite,4
Positive,find,5
Positive,fine,5
Positive,fingerprint,5
Positive,First,14
Neutral,fix,7
Positive,font,3
Positive,free,30
Neutral,freezes,3
Positive,friendly,3
Positive,frozen,4
Positive,full,13
Positive,fun,5
Neutral,functional,6
Positive,give,11
Positive,good,165
Positive,great,74
Positive,Greatest,3
Positive,gud,4
Neutral,guys,3
Positive,happy,6
Positive,hard,19
Positive,healthy,4
Positive,helpful,33
Negative,horrible,9
Positive,i,3
Negative,im,3
Positive,important,4
Neutral,indian,5
Positive,informative,6
Neutral,install,5
Positive,interesting,5
Neutral,international,6
Positive,internet,7
Neutral,intrusive,3
Neutral,Intuitive,5
Positive,Just,3
Positive,know,10
Positive,lag,3
Neutral,laggy,3
Positive,last,38
Positive,latest,11
Neutral,learn,5
Neutral,library,3
Positive,little,19
Positive,live,8
Positive,load,8
Positive,local,5
Positive,log,5
Neutral,login,3
Positive,long,9
Positive,Lovely,3
Neutral,low,8
Positive,major,4
Positive,many,59
Positive,mobile,10
Positive,much,27
Positive,multiple,5
Positive,n,7
Neutral,necessary,3
Positive,need,3
Negative,negative,4
Positive,net,4
Positive,new,39
Positive,newest,5
Neutral,next,5
Positive,nice,36
Neutral,nonsense,3
Neutral,numerous,3
Neutral,offline,5
Positive,OK,6
Positive,okay,3
Positive,old,13
Positive,Open,44
Positive,opponent,3
Positive,Other,5
Positive,Overall,9
Neutral,past,8
Positive,perfect,4
Positive,personal,6
Neutral,photos,3
Negative,poor,8
Positive,possible,7
Positive,pretty,4
Positive,Previous,8
Negative,prime,3
Neutral,private,3
Positive,pro,4
Positive,quick,8
Negative,random,3
Neutral,read,4
Positive,real,8
Neutral,receive,3
Positive,recent,11
Positive,refresh,3
Neutral,reliable,4
Neutral,rid,6
Positive,ridiculous,5
Neutral,Rubbish,10
Neutral,same,3
Positive,scan,4
Positive,screen,10
Positive,second,11
Neutral,select,4
Neutral,send,4
Positive,several,17
Positive,short,3
Positive,sign,9
Positive,simple,30
Negative,single,3
Positive,slow,14
Positive,small,5
Neutral,sony,3
Positive,sound,3
Positive,stop,3
Negative,stupid,20
Neutral,such,3
Positive,super,6
Positive,sure,10
Neutral,technical,3
Negative,Terrible,17
Positive,text,9
Neutral,third,4
Positive,tired,4
Positive,tried,3
Positive,type,3
Positive,u,33
Positive,unable,17
Neutral,uninstall,10
Negative,unnecessary,3
Neutral,unresponsive,4
Neutral,unstable,4
Neutral,unusable,4
Positive,update,63
Neutral,updated,3
Neutral,upload,9
Negative,ur,3
Neutral,used,3
Positive,Useful,22
Neutral,useless,16
Positive,user-friendly,3
Neutral,want,4
Neutral,white,5
Positive,wish,11
Positive,Wonderful,5
Neutral,wont,4
Negative,worst,11
Negative,wrong,9
